序号,内容
920,那我最先看到的就是表面啊
921,阴兵借票事件
922,诚哥太适合做这种了
923,以后多做做吧
924,正好你剧透完了我就不看了呀哈哈哈
925,过年了
926,不冷吗动画男主
927,哈哈哈哈哈哈哈
928,狗都不看
929,佥
930,不想去
931,哈哈哈哈哈哈哈
932,卧槽
933,全是人
934,狗都不看
935,佥
936,哈哈哈哈哈哈哈哈哈哈
937,传销呢这是
938,于谦
939,啊哈哈哈哈
940,鸡汤来喽
941,别唱啦
942,阿娟
943,男主角
944,骂得好
945,传销组织表示不服
946,不长这样
947,老子枪版的都不想去搜
948,你被强化了快去送
949,分都锁了
950,寄
951,我看你这眼睛就和啊娟的差不多
952,每天自己照镜子会不会一言难尽
953,你都不是影评人就在这发视频
954,是为了夺回男主的红包好吗
955,小蓝胖
956,这部片里眼睛最大的是狮子
957,阴兵的视角也是这样
958,有观影计划的朋友们请原路返回
959,哈哈哈
960,木棉花确实也被称为英雄花
961,痞子震怒
962,洗麻了
963,你不害怕么
964,骂雄狮的通通赞一遍
965,唐氏少年
966,没有两极分化
967,这就是个垃圾剧
968,这形象让我想起来咒乐园里的小女孩
969,爹妈更想看你结婚
970,又一个爱迪生火车站做实验的翻版
971,哈哈哈哈哈哈哈哈哈哈哈
972,原来不是给人看的
973,国产片剧情就是世界倒数
974,我去这
975,太牛了
976,我没看过
977,但是看其他
978,的没这么接地气的评论
979,寎
980,使劲透
981,寎
982,这左右眼怕是隔了一条银河系
983,毎
984,这讲的是唐氏患者的励志人生吧
985,毎
986,笑死
987,怕碰到脏东西
988,篎
989,不可能
990,绝对不可能
991,诎
992,舔狗都算不上
993,鯎
994,觑
995,拔刀相助抢红包
996,红包里一块钱
997,好多人呐
998,还有买吊票和趴票的呢
999,己所不欲勿施于人
1000,瑕疵剧情
1001,很美式的剧情套路
1002,哈哈哈
1003,哈哈哈哈
1004,挺好
1005,抛开外观谈剧情
1006,让他死得其所
1007,木棉是过年后才开的
1008,上楼梯摔死了是吧
1009,哈哈哈哈哈哈
1010,哈哈哈哈哈哈哈
1011,五千万阴兵贡献的
1012,不想
1013,尽管透
1014,蚌埠住了
1015,你看的可太累了
1016,意思就是舞狮没有前途
1017,既要进厂打工还找不到女朋友
1018,实属缺了大德了
1019,锰
1020,这人阴阳怪气的
1021,宁可真阴阳怪气
1022,己所不欲勿施于人
1023,罗小黑告诉你小朋友就要去上学
1024,唐氏少年告诉你未成年必须要打工
1025,谁才是国漫之光
1026,实事求是动画技术有长足进步
1027,其他是老鼠
1028,这女主不去干传销真是可惜了
1029,莫名其妙
1030,人鬼情未了
1031,没有
1032,根本就没有
1033,哈哈哈
1034,没事儿
1035,哈哈哈哈哈
1036,对
1037,这个情节很美国
1038,哈哈哈哈哈哈哈
1039,哈哈哈
1040,自己请的水军刷的评分
1041,自己花钱刷的票房呗
1042,他不是挡道了么
1043,听起来有点像诈骗的套路
1044,哈哈哈
1045,赚钱
1046,午夜的票价涨了
1047,阴兵包场的注水撑到的
1048,亿
1049,蒆
1050,任性
1051,这个角色工具属性太强
1052,细琢磨她动机的时候就满头问号
1053,韭菜我一人
1054,铁杆千万家
1055,没事儿
1056,尽情剧透吧
1057,不想去
1058,问题是现实我去上个班不就行了还让我看这种片子
1059,木棉在我这
1060,月开
1061,永远记得中考写完试卷看窗外的木棉
1062,见花不见叶
1063,别黑了
1064,就这水平还黑
1065,你看
1066,你就上当了
1067,确实
1068,有些人还看票子
1069,一张
1070,我觉得剧情一般
1071,烂俗的剧情套路基本看了开头就知道结尾那种
1072,典中典了属于是
1073,氎
1074,卡萨丁
1075,等我
1076,级
1077,要你好看
1078,谎
1079,唐氏少年
1080,鰎
1081,这个学的太像了
1082,你可以抨击它
1083,但无中生有就过分了
1084,没事我也不报期望
1085,开始无聊了
1086,还好没看
1087,不说别的
1088,看宣传片就知道这个片子的剧情有多烂
1089,没有
1090,不去
1091,哈哈哈哈哈
1092,不可能
1093,这辈子不可能去看
1094,诰
1095,都是阴兵
1096,看不到很正常
1097,剧情
1098,刺激
1099,就一句话地府动画全是刻板印象和刻板
1100,气得各搂各搂的
1101,偱
1102,搅活
1103,这评价才是正能量
1104,对
1105,蠫
1106,据说这女的是他自己的思想投射
1107,焊
1108,当你把票买下的时候它们的目的就已经达成了
1109,已经帮咱们把坑踩了各位就别去以身试毒了
1110,可能主创也觉得女主不好看
1111,好开
1112,牛头人震怒
1113,没有
1114,请讲
1115,黄飞鸿是吧
1116,狮王争霸是吧
1117,吹的应该都是水军
1118,吹的应该都是水军
1119,佛山跟广州近的你骑个单车都能随便来回
1120,抛开事实不谈
1121,我是导演野跌
1122,濓
1123,晚上全是鬼在看
1124,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈包场
1125,狗都不看
1126,哈哈哈哈
1127,哈哈哈哈哈哈哈
1128,这价值观真离谱
1129,牛头人突然狂喜
1130,现在我基本确定那些人都是利益相关方
1131,水军和投资方股东之类的
1132,为了帮男主抢
1133,块钱
1134,毁了人家一个村子的年
1135,哈哈哈哈哈哈哈哈哈哈哈哈哈
1136,蛕
1137,女主创造奇迹去了
1138,这就是隐晦的侮辱传统文化
1139,没出路了跑去舞狮
1140,笑死我了哈哈哈哈哈哈哈
1141,幽灵场
1142,屁的个现实就是这样
1143,说不过别人就什么世界就是这样
1144,现实就是如此
1145,别糟蹋现实成吗
1146,追梦的人你是一个也没见过啊怎么地
1147,这点破事
1148,炒了又炒
1149,看这形象就当场吐了
1150,哈哈哈哈
1151,创造奇迹
1152,桱
1153,脏东西蚌埠住了
1154,黑红也是红呗
1155,关键是女的也可以舞狮啊
1156,我还看到新娘婚礼上为自己舞狮
1157,我看的时候我都要尴尬的给导演写本指导语言的书
1158,阴兵
1159,主创自己看看瘦子侧脸像啥
1160,哈哈哈哈哈哈
1161,不想去
1162,他就是单纯的想上电视
1163,狗头
1164,生气了
1165,背景瞩目
1166,这个时候只需要说一句话啊
1167,对对对
1168,真怕以后的国内动画会越来越保守
1169,看完柯文思导演对
1170,雄狮少年
1171,的看法
1172,觉得要被西方导演来评论还是有点不甘心
1173,就中国同胞不要再攻击中国同胞了
1174,动画人真的不容易
1175,请大家多给点空间多一点包容
1176,哈哈哈哈
1177,让女的尊重道德都是侮辱女性了
1178,人间笑话了属于是
1179,害怕
1180,哈哈哈哈哈哈哈哈哈哈哈
1181,濱
1182,垃圾玩意
1183,请阴兵了属于是
1184,土木狗跑路后劝别人报考土木
1185,主哪来这么多表情包哈哈哈哈
1186,年轻人
1187,你被骗了
1188,怎么会有
1189,中国人不应该吃肉
1190,哈哈哈哈哈哈哈
1191,外貌协会有什么错
1192,明白了
1193,这部电影在歧视女性
1194,小贝壳搬家了
1195,这还是午夜三千块电影票刷出来的
1196,你要唤醒你下面那头雄狮
1197,正常人谁不剧透
1198,于谦
1199,你叫我
1200,太牵强了
1201,灌篮高手
1202,樱木也不爱篮球
1203,只有解除了你才能爱上
1204,真的是偏见
1205,天津的
1206,蜆
1207,哈哈哈
1208,韭菜竟是我自己
1209,红利竟是我本身
1210,根本不想去
1211,随便剧透
1212,说得好
1213,离谱
1214,这不出来打拳
1215,尬住了
1216,一张票
1217,灵异爱好者狂喜
1218,我原来是英雄
1219,木棉花太多了
1220,什么鬼剧情
1221,这个
1222,剧情就解释歪了吧
1223,男主被欺负了被抢了爷爷的红包女的看不下去
1224,帮男主夺取红包啊
1225,那不是女主是人生导师
